timestamp,current_replicas,predicted_rps,rps_replicas,jvm_floor_bump,recommended_replicas,applied_replicas,action,request_rate_rps,response_time_p95_ms,response_time_max_ms,cpu_usage_percent,jvm_heap_used_bytes,jvm_heap_utilisation,jvm_gc_avg_pause_ms,jvm_gc_pause_count,jvm_threads_live,replica_count
2026-06-12T22:02:37.242660+00:00,1,0.0,1,0,1,1,hold,nan,nan,10393.9008,92.9153,398198112.0,0.4945,nan,nan,106.0,2.0
2026-06-12T22:03:07.247161+00:00,1,0.0,1,0,1,1,hold,0.1346,431.4676,8600.0006,80.0,93575952.0,0.3486,10.7586,21.072,23.0,1.0
2026-06-12T22:03:37.250786+00:00,1,0.0,1,0,1,1,hold,13.8386,201.0419,8600.0006,58.3333,162879920.0,0.6068,3.4007,72.9257,23.0,1.0
2026-06-12T22:04:07.256157+00:00,1,0.0,1,0,1,1,hold,25.1333,1036.9562,8600.0006,72.6984,260419584.0,0.7859,12.2276,140.0,43.0,1.0
2026-06-12T22:04:37.260133+00:00,1,0.0,1,0,1,1,hold,20.9667,7130.2682,14285.0592,98.5556,460656752.0,0.858,20.3282,296.0,102.0,1.0
2026-06-12T22:05:07.264637+00:00,1,0.0,1,0,1,1,hold,16.435,10000.0,31304.6024,98.5816,411548944.0,0.7666,28.8219,552.2091,164.0,1.0
2026-06-12T22:05:37.269012+00:00,1,0.0,1,0,1,1,hold,14.33,10000.0,39899.3379,98.2456,498882056.0,0.9292,31.2184,521.8782,191.0,1.0
2026-06-12T22:06:07.273512+00:00,1,0.0,1,0,1,1,hold,11.0011,10000.0,58994.0574,97.9798,450049048.0,0.8383,30.8877,748.0748,192.0,1.0
2026-06-12T22:06:37.278566+00:00,1,0.0,1,0,1,1,hold,nan,nan,58994.0574,97.9798,450049048.0,0.8383,nan,nan,192.0,1.0
2026-06-12T22:07:07.279865+00:00,1,-3.541,1,0,1,1,hold,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
2026-06-12T22:07:37.282237+00:00,1,13.591,1,0,1,1,hold,nan,nan,109813.2742,97.5439,450350080.0,0.8388,nan,nan,198.0,1.0
