Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781332214,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781332215,10,GET,/api/products [GET],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,67,125.22979866722987,65.69920799665852,262.18475000496255,120.0
1781332215,10,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,67,125.22979866722987,65.69920799665852,262.18475000496255,120.0
1781332216,10,GET,/api/products [GET],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,10,0,220.0,266.6425961011555,65.69920799665852,686.554709005577,120.0
1781332216,10,,Aggregated,0.000000,0.000000,260,260,420,550,690,690,690,690,690,690,690,10,0,220.0,266.6425961011555,65.69920799665852,686.554709005577,120.0
1781332217,10,GET,/api/products [GET],0.000000,0.000000,550,550,690,690,690,690,690,690,690,690,690,10,0,220.0,266.6425961011555,65.69920799665852,686.554709005577,120.0
1781332217,10,,Aggregated,0.000000,0.000000,260,260,420,550,690,690,690,690,690,690,690,10,0,220.0,266.6425961011555,65.69920799665852,686.554709005577,120.0
1781332218,10,GET,/api/products [GET],3.000000,0.000000,420,550,550,690,690,690,690,690,690,690,690,11,0,260.0,269.5136252739096,65.69920799665852,686.554709005577,120.0
1781332218,10,,Aggregated,3.000000,0.000000,260,300,420,420,550,690,690,690,690,690,690,11,0,260.0,269.5136252739096,65.69920799665852,686.554709005577,120.0
1781332219,10,GET,/api/products [GET],3.333333,0.000000,420,420,550,550,690,690,690,690,690,690,690,12,0,260.0,269.77647941809363,65.69920799665852,686.554709005577,120.0
1781332219,10,,Aggregated,3.333333,0.000000,260,270,420,420,550,690,690,690,690,690,690,12,0,260.0,269.77647941809363,65.69920799665852,686.554709005577,120.0
1781332220,10,GET,/api/products [GET],3.333333,0.000000,420,420,550,550,690,690,690,690,690,690,690,12,0,260.0,269.77647941809363,65.69920799665852,686.554709005577,120.0
1781332220,10,,Aggregated,3.333333,0.000000,260,270,420,420,550,690,690,690,690,690,690,12,0,260.0,269.77647941809363,65.69920799665852,686.554709005577,120.0
1781332221,10,GET,/api/products [GET],3.333333,0.000000,420,420,550,550,690,690,690,690,690,690,690,12,0,260.0,269.77647941809363,65.69920799665852,686.554709005577,120.0
1781332221,10,,Aggregated,3.333333,0.000000,260,270,420,420,550,690,690,690,690,690,690,12,0,260.0,269.77647941809363,65.69920799665852,686.554709005577,120.0
1781332223,10,GET,/api/load/cpu-heavy [GET],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,7500.0,7580.143864666752,7428.044419997605,7817.845837002096,45.0
