Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781623103,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781623104,10,GET,/api/products [GET],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,540.0,573.351041999994,535.7919589999938,646.5341509999689,120.0
1781623104,10,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,540.0,573.351041999994,535.7919589999938,646.5341509999689,120.0
1781623105,10,GET,/api/products [GET],0.000000,0.000000,460,460,460,460,460,460,460,460,460,460,460,5,0,540.0,466.84245419999115,150.9782349999682,646.5341509999689,120.0
1781623105,10,,Aggregated,0.000000,0.000000,460,460,460,460,460,460,460,460,460,460,460,5,0,540.0,466.84245419999115,150.9782349999682,646.5341509999689,120.0
1781623106,10,GET,/api/load/cpu-heavy [GET],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,2600.0,2106.701203,1132.7683040000238,2637.315521000005,45.0
1781623106,10,GET,/api/products [GET],0.000000,0.000000,460,460,460,460,460,460,460,460,460,460,460,5,0,540.0,466.84245419999115,150.9782349999682,646.5341509999689,120.0
1781623106,10,,Aggregated,0.000000,0.000000,1100,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,8,0,540.0,1081.7894849999943,150.9782349999682,2637.315521000005,91.875
1781623107,10,GET,/api/load/cpu-heavy [GET],0.000000,0.000000,3500,3500,3600,3600,3600,3600,3600,3600,3600,3600,3600,7,0,3100.0,2872.914583571425,1132.7683040000238,3553.2310959999904,45.0
1781623107,10,GET,/api/products [GET],2.500000,0.000000,150,460,460,550,550,550,550,550,550,550,550,8,0,460.0,371.9114871249829,19.451375999949505,646.5341509999689,120.0
1781623107,10,,Aggregated,2.500000,0.000000,2600,2600,3500,3500,3500,3600,3600,3600,3600,3600,3600,15,0,650.0,1539.046265466656,19.451375999949505,3553.2310959999904,85.0
1781623108,10,GET,/api/load/cpu-heavy [GET],1.000000,0.000000,3300,3500,3500,3600,4300,4300,4300,4300,4300,4300,4300,12,0,2600.0,2855.10381908332,1132.7683040000238,4347.395849999998,45.0
1781623108,10,GET,/api/products [GET],1.666667,0.000000,360,360,460,460,550,550,550,550,550,550,550,9,0,460.0,370.65263288887235,19.451375999949505,646.5341509999689,120.0
1781623108,10,,Aggregated,2.666667,0.000000,2500,2600,3300,3500,3600,4300,4300,4300,4300,4300,4300,21,0,1900.0,1790.3390249999854,19.451375999949505,4347.395849999998,77.14285714285714
1781623109,10,GET,/api/load/cpu-heavy [GET],1.750000,0.000000,2500,3300,3500,3500,3600,4300,4300,4300,4300,4300,4300,16,0,2500.0,2400.0832852499902,894.7238970000058,4347.395849999998,45.0
1781623109,10,GET,/api/products [GET],1.750000,0.000000,190,360,390,460,550,550,550,550,550,550,550,13,0,360.0,313.9466982307576,19.451375999949505,646.5341509999689,120.0
1781623109,10,,Aggregated,3.500000,0.000000,1100,2500,2600,3100,3500,3600,4300,4300,4300,4300,4300,29,0,930.0,1464.9186083103343,19.451375999949505,4347.395849999998,78.62068965517241
1781623110,10,GET,/api/load/cpu-heavy [GET],2.200000,0.000000,2200,3100,3500,3500,3600,4300,4300,4300,4300,4300,4300,18,0,2200.0,2231.509153222209,724.034966999966,4347.395849999998,45.0
1781623110,10,GET,/api/load/memory-heavy [GET],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,1300.0,1596.1543075000009,1178.2860490000076,2080.4655480000065,52.0
1781623110,10,GET,/api/products [GET],1.800000,0.000000,180,190,360,390,460,550,550,550,550,550,550,17,0,180.0,271.2746007058647,19.451375999949505,646.5341509999689,120.0
1781623110,10,,Aggregated,4.000000,0.000000,1000,1800,2500,2600,3500,3600,4300,4300,4300,4300,4300,39,0,930.0,1311.8833384615248,19.451375999949505,4347.395849999998,78.41025641025641
1781623111,10,GET,/api/load/cpu-heavy [GET],2.500000,0.000000,1300,2500,3300,3500,3600,4300,4300,4300,4300,4300,4300,22,0,1300.0,1898.7066440454446,203.88439300000982,4347.395849999998,45.0
1781623111,10,GET,/api/load/memory-heavy [GET],0.000000,0.000000,1200,1300,1300,1800,1800,1800,1800,1800,1800,1800,1800,6,0,1200.0,1317.4624681666671,373.1434860000036,2080.4655480000065,52.0
1781623111,10,GET,/api/products [GET],1.833333,0.000000,96,180,190,360,460,550,550,550,550,550,550,22,0,120.0,223.41002627271425,9.385038999994322,646.5341509999689,120.0
1781623111,10,,Aggregated,4.333333,0.000000,690,1200,1900,2200,3300,3500,4300,4300,4300,4300,4300,50,0,550.0,1091.8268311199897,9.385038999994322,4347.395849999998,78.84
1781623112,10,GET,/api/load/cpu-heavy [GET],2.571429,0.000000,1000,1900,3100,3300,3500,3600,4300,4300,4300,4300,4300,27,0,1000.0,1655.8370720370333,198.93714100004445,4347.395849999998,45.0
1781623112,10,GET,/api/load/memory-heavy [GET],0.142857,0.000000,1100,1200,1300,1300,1800,1800,1800,1800,1800,1800,1800,9,0,1100.0,983.7859313333297,234.67995599997948,2080.4655480000065,52.0
1781623112,10,GET,/api/products [GET],2.142857,0.000000,100,180,190,220,390,460,550,550,550,550,550,26,0,120.0,209.4495523461411,9.385038999994322,646.5341509999689,120.0
1781623112,10,,Aggregated,4.857143,0.000000,460,930,1300,1900,3100,3500,3600,4300,4300,4300,4300,62,0,470.0,951.7316562580569,9.385038999994322,4347.395849999998,77.46774193548387
1781623113,10,GET,/api/load/cpu-heavy [GET],2.625000,0.000000,930,1900,2500,3100,3500,3600,4300,4300,4300,4300,4300,29,0,1000.0,1553.1387354827555,150.2850499999795,4347.395849999998,45.0
1781623113,10,GET,/api/load/memory-heavy [GET],0.750000,0.000000,350,370,1100,1200,1300,1800,1800,1800,1800,1800,1800,15,0,350.0,650.8547694000034,69.97806200001833,2080.4655480000065,52.0
1781623113,10,GET,/api/products [GET],2.750000,0.000000,88,120,180,190,390,460,550,550,550,550,550,33,0,93,176.97351939392894,4.067098999996688,646.5341509999689,120.0
1781623113,10,,Aggregated,6.125000,0.000000,240,710,1000,1300,2600,3500,3600,4300,4300,4300,4300,77,0,350.0,787.584039090904,4.067098999996688,4347.395849999998,78.50649350649351
1781623114,10,GET,/api/load/cpu-heavy [GET],2.777778,0.000000,720,1000,1900,2500,3500,3600,4300,4300,4300,4300,4300,36,0,780.0,1278.6608278888878,11.892311000053724,4347.395849999998,45.0
1781623114,10,GET,/api/load/memory-heavy [GET],1.000000,0.000000,230,350,370,1100,1300,1800,1800,1800,1800,1800,1800,20,0,230.0,529.5012111999995,45.8958450000182,2080.4655480000065,52.0
1781623114,10,GET,/api/products [GET],2.888889,0.000000,83,96,150,180,360,460,550,550,550,550,550,39,0,84,153.32566946153167,2.8364000000351552,646.5341509999689,120.0
1781623114,10,,Aggregated,6.666667,0.000000,200,390,800,1100,2500,3300,3600,4300,4300,4300,4300,95,0,200.0,658.9633172315754,2.8364000000351552,4347.395849999998,77.26315789473684
1781623115,10,GET,/api/load/cpu-heavy [GET],2.900000,0.000000,470,890,1300,2200,3500,3600,4300,4300,4300,4300,4300,42,0,690.0,1114.1661002380938,11.892311000053724,4347.395849999998,45.0
1781623115,10,GET,/api/load/memory-heavy [GET],1.400000,0.000000,190,290,360,370,1200,1300,1800,1800,1800,1800,1800,24,0,190.0,458.7574792499989,27.376130999982706,2080.4655480000065,52.0
1781623115,10,GET,/api/products [GET],3.100000,0.000000,65,88,96,120,190,360,550,550,550,550,550,46,0,75,133.59382202173475,1.7350120000401148,646.5341509999689,120.0
1781623115,10,,Aggregated,7.400000,0.000000,170,260,470,780,1800,3100,3500,3600,4300,4300,4300,112,0,180.0,570.9863529017829,1.7350120000401148,4347.395849999998,77.30357142857143
1781623116,10,GET,/api/load/cpu-heavy [GET],3.300000,0.000000,250,690,800,930,1900,2500,4300,4300,4300,4300,4300,49,0,360.0,959.6557644081627,11.787529000002905,4347.395849999998,45.0
1781623116,10,GET,/api/load/memory-heavy [GET],2.000000,0.000000,170,240,350,370,1200,1300,1800,1800,1800,1800,1800,26,0,170.0,424.26394030769217,8.025716000020111,2080.4655480000065,52.0
1781623116,10,GET,/api/products [GET],3.500000,0.000000,59,83,93,100,180,220,390,390,390,390,390,51,0,65,120.97071774509438,1.7350120000401148,646.5341509999689,120.0
1781623116,10,,Aggregated,8.800000,0.000000,120,200,350,390,1000,1900,2500,3300,4300,4300,4300,126,0,140.0,509.71032943650596,1.7350120000401148,4347.395849999998,76.8015873015873
1781623117,10,GET,/api/load/cpu-heavy [GET],4.000000,0.000000,120,250,470,710,930,1000,2200,2200,2200,2200,2200,59,0,200.0,801.2299273389829,10.196309000036763,4347.395849999998,45.0
1781623117,10,GET,/api/load/memory-heavy [GET],2.200000,0.000000,140,190,240,350,1100,1300,1800,1800,1800,1800,1800,34,0,140.0,327.892216970589,5.494393999981639,2080.4655480000065,52.0
1781623117,10,GET,/api/products [GET],4.000000,0.000000,43,80,88,93,180,190,390,390,390,390,390,56,0,59,111.59317907142508,1.7350120000401148,646.5341509999689,120.0
1781623117,10,,Aggregated,10.200000,0.000000,75,150,200,260,780,1100,1800,2100,2200,2200,2200,149,0,88,434.027645087247,1.7350120000401148,4347.395849999998,74.78523489932886
